                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.91832,                0.50039,                0.92235,                0.90294,                0.74461,                0.84402,                0.58231,                 1.0963,                0.58256,                 1.0041,             0.00065091,             0.00065091,             0.00065091
                     57,                0.93857,                0.50988,                0.92733,                0.85424,                0.70024,                 0.8203,                0.56158,                 1.0683,                0.57201,                0.98635,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91657,                0.49895,                0.93064,                0.84578,                0.72219,                0.80754,                0.56369,                  1.079,                0.57293,                0.99299,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91636,                0.49504,                0.92112,                0.87448,                0.71038,                0.80368,                0.55522,                 1.0592,                0.57254,                 0.9855,             0.00060847,             0.00060847,             0.00060847
                     60,                0.91064,                 0.4874,                0.92415,                0.83309,                0.75536,                0.81625,                0.56195,                 1.0814,                0.55296,                0.99647,             0.00059432,             0.00059432,             0.00059432
                     61,                0.88323,                0.47966,                0.91114,                 0.8203,                0.78388,                0.84038,                0.57089,                 1.0866,                0.56316,                0.99659,             0.00058017,             0.00058017,             0.00058017
                     62,                 0.9231,                0.50124,                0.92368,                0.84309,                0.76261,                 0.8498,                0.57906,                 1.0944,                 0.5862,                0.99556,             0.00056603,             0.00056603,             0.00056603
                     63,                0.88311,                0.47739,                0.92008,                0.88891,                0.75914,                0.85471,                0.59669,                 1.0643,                0.56275,                0.99312,             0.00055188,             0.00055188,             0.00055188
                     64,                0.89101,                0.48674,                0.91652,                  0.857,                0.76264,                0.82782,                0.57787,                 1.0741,                0.54682,                 1.0038,             0.00053773,             0.00053773,             0.00053773
                     65,                0.85881,                0.46742,                0.90928,                0.86838,                 0.7317,                0.82932,                 0.5675,                 1.0811,                0.54743,                0.99861,             0.00052359,             0.00052359,             0.00052359
                     66,                0.85281,                0.46814,                0.91341,                0.90602,                0.73492,                0.85318,                 0.5931,                 1.0762,                0.53734,                  1.005,             0.00050944,             0.00050944,             0.00050944
                     67,                0.88086,                0.47887,                0.91769,                0.86914,                0.74534,                0.84891,                0.59175,                 1.0686,                0.54128,                0.99197,             0.00049529,             0.00049529,             0.00049529
                     68,                0.88213,                 0.4789,                0.90458,                0.91895,                0.72891,                0.85182,                0.60034,                 1.0536,                0.52725,                0.98895,             0.00048114,             0.00048114,             0.00048114
                     69,                0.86212,                0.46506,                0.90899,                0.87355,                 0.7639,                0.84726,                0.58429,                 1.0678,                0.53493,                0.99921,               0.000467,               0.000467,               0.000467
                     70,                0.87891,                0.46567,                0.91293,                0.79548,                0.77681,                0.82596,                0.57351,                 1.0732,                0.55347,                0.98764,             0.00045285,             0.00045285,             0.00045285
                     71,                0.86866,                0.46067,                0.90881,                0.80445,                0.76423,                0.82659,                0.56735,                 1.0839,                0.54859,                0.99932,              0.0004387,              0.0004387,              0.0004387
                     72,                0.86878,                 0.4607,                0.91481,                0.90108,                0.75664,                0.85067,                0.57826,                 1.0793,                0.54173,                 1.0066,             0.00042456,             0.00042456,             0.00042456
                     73,                0.85994,                 0.4519,                0.91094,                0.88743,                0.75494,                0.85224,                0.58636,                  1.082,                0.55759,                 1.0043,             0.00041041,             0.00041041,             0.00041041
                     74,                0.85798,                0.46088,                0.91094,                0.85842,                0.76986,                0.84875,                0.59241,                 1.0678,                0.54688,                0.99159,             0.00039626,             0.00039626,             0.00039626
                     75,                0.83812,                0.44566,                0.90834,                0.87119,                0.75784,                0.82666,                0.57066,                 1.0576,                0.54703,                0.98791,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.8493,                0.44601,                0.90283,                0.82556,                0.76475,                0.81303,                 0.5583,                 1.0782,                0.55923,                0.99947,             0.00036797,             0.00036797,             0.00036797
                     77,                 0.8529,                0.45232,                0.90198,                0.85139,                0.74498,                0.82236,                 0.5556,                 1.0846,                0.54636,                 1.0015,             0.00035382,             0.00035382,             0.00035382
                     78,                0.87696,                0.46399,                0.89976,                0.96371,                0.70336,                0.84205,                0.58127,                 1.0702,                0.54669,                0.99435,             0.00033967,             0.00033967,             0.00033967
                     79,                0.83472,                0.44316,                0.89971,                 0.9349,                0.73711,                0.85484,                0.59232,                 1.0707,                0.52306,                0.99214,             0.00032553,             0.00032553,             0.00032553
                     80,                0.83183,                0.42865,                0.89329,                0.88274,                0.74575,                0.84913,                0.57436,                 1.0682,                0.53315,                0.99628,             0.00031138,             0.00031138,             0.00031138
                     81,                0.81557,                0.42981,                0.89821,                0.90593,                0.73687,                0.83826,                0.57539,                 1.0788,                0.54003,                0.99634,             0.00029723,             0.00029723,             0.00029723
                     82,                0.81751,                  0.426,                0.89139,                0.89543,                0.72064,                0.84939,                  0.584,                 1.0803,                0.52799,                 1.0027,             0.00028308,             0.00028308,             0.00028308
                     83,                0.81614,                0.42906,                0.89555,                0.89271,                0.74914,                0.86555,                0.59361,                 1.0768,                0.52135,                 1.0026,             0.00026894,             0.00026894,             0.00026894
                     84,                0.80139,                0.41853,                0.89126,                0.93603,                0.74232,                0.85006,                0.57349,                 1.0866,                0.53888,                 1.0056,             0.00025479,             0.00025479,             0.00025479
                     85,                0.81496,                 0.4251,                0.89433,                0.90683,                0.75941,                0.84493,                0.58052,                 1.0693,                0.53172,                 1.0013,             0.00024064,             0.00024064,             0.00024064
                     86,                0.81853,                0.41953,                0.89068,                0.89869,                 0.7627,                0.84624,                0.58284,                 1.0663,                0.52393,                0.99421,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.7939,                0.41354,                0.88788,                 0.8825,                0.76767,                0.85125,                0.58768,                 1.0655,                0.52622,                0.99658,             0.00021235,             0.00021235,             0.00021235
                     88,                0.80685,                0.41496,                0.88976,                0.88724,                0.76078,                0.85698,                  0.595,                 1.0627,                0.52518,                0.99424,              0.0001982,              0.0001982,              0.0001982
                     89,                0.79288,                0.41565,                0.88725,                0.90541,                0.76722,                0.85477,                0.58925,                 1.0693,                0.52283,                 1.0003,             0.00018406,             0.00018406,             0.00018406
                     90,                0.79774,                0.41513,                0.88346,                0.88038,                0.75593,                0.85125,                 0.5898,                 1.0646,                0.51882,                0.99879,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.7935,                0.39288,                0.87975,                0.86779,                 0.7287,                0.83386,                0.57533,                 1.0627,                0.52728,                 1.0005,             0.00015576,             0.00015576,             0.00015576
                     92,                0.76299,                0.37837,                0.86837,                0.87057,                 0.7477,                0.83998,                0.58112,                 1.0623,                0.54076,                0.99562,             0.00014161,             0.00014161,             0.00014161
                     93,                0.76384,                0.37681,                0.87095,                0.86959,                 0.7561,                0.84298,                0.57666,                 1.0782,                0.52905,                 1.0051,             0.00012747,             0.00012747,             0.00012747
                     94,                0.75594,                0.37219,                0.87331,                0.85621,                0.75824,                0.84197,                 0.5738,                 1.0682,                0.53295,                 0.9983,             0.00011332,             0.00011332,             0.00011332
                     95,                0.75996,                0.36455,                0.86626,                0.85262,                0.77453,                0.84604,                0.58119,                 1.0637,                0.52976,                 0.9989,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.75492,                 0.3671,                0.87095,                0.87555,                0.74792,                0.84714,                0.57751,                 1.0707,                0.52456,                 1.0001,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.74563,                0.36577,                0.86952,                0.85534,                0.75646,                0.85192,                0.58575,                 1.0705,                0.52156,                 1.0033,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.7409,                0.36483,                0.86909,                 0.8783,                0.76759,                0.85265,                0.58215,                 1.0655,                0.52411,                0.99808,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7353,                0.36051,                0.86628,                0.86576,                0.76961,                0.85288,                0.58312,                 1.0654,                0.51982,                0.99857,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.72969,                0.35687,                 0.8649,                0.87532,                0.76144,                0.85233,                0.58713,                 1.0646,                0.51938,                 0.9981,             2.8437e-05,             2.8437e-05,             2.8437e-05
